number,question,answer,explanation
1,競技場が高台になっている場合は、更に 1m、合計 3m を四方に確保する必要がある。,×,「高台なら更に1m、合計3mを四方に」とする明確なJKF規定はない（標準の安全域が規定）。
2,宗教的なヘッドウェアを任意に着用することができる。,×,宗教的ヘッドウェアは大会・連盟の承認が必要で、任意着用とはならない。
3,空手着の上着は、太腿の 4 分の 3 以上の長さであること。,×,「太腿の4分の3以上」という表現は規定にない（通常は膝上等の定め）。
4,空手着のズボンは、少なくとも脛の 3 分の 2 以上の長さでなければならない。,×,「脛の3分の2以上」という具体値は公式規定には一般的でない（長さ基準は別表現）。
5,空手着の袖は、手首の長さ以上あってはならない。,○,袖は手首を越えないなどの制限がある旨の規定（過度な長さは禁止）。
6,空手着の袖が長すぎて、時間内に適切な代替品が見つからない場合、主審は袖を内側に捲ることを許可することができる。,×,主審が袖を単に内側に捲ることを許可するという特例は規定されていない（適合しない場合は交換等）。
7,競技者は、髪に 1～2 個の目立たないゴムバンド又はポニーテールリテーナー（留め具）を使用することができる。リボン、ビーズ、その他の装飾は禁止される。,○,目立たないゴムバンド等は許可、リボン・ビーズ等の装飾は不可が一般的規定。
8,イヤリングは、テープで覆われていれば許可される。,×,イヤリング等金属アクセサリは安全上原則禁止（テープで覆っても許可されないケースあり）。
9,金属製の歯（歯科）矯正器具は、主審及びオフィシャルドクターの承認があれば、競技者の自己責任において着用することができる。,○,金属製矯正器具（歯）の扱いは主審・大会ドクターの承認により自己責任で可となる旨の例外規定がある。
10,競技者は、試合開始時及び終了時に、互いに正しく礼をしなければならない。,○,試合開始前と終了時の礼は武道の基本であり、規定で義務付けられている。
11,コーチは、団体戦の試合中に出場競技者の順番を変更することができる。,○,団体戦での出場順の変更は大会規定やタイミングにより許可される場合がある（通常、規程に具体な手続きあり）。
12,個人戦で出場者が負傷した場合、コーチは組織委員会に先に連絡すれば、代わりの選手を出場させることができる。,×,個人戦での欠場・負傷者は厳しく制限される。コーチの単独連絡で代替出場できるという単純な規定はない。
13,各ジャッジは、赤と青の旗、又は電子信号装置を装備しなければならない。,○,各ジャッジは赤・青のフラッグまたは電子信号装置を備える必要がある（判定方式に準じる）。
14,両チームの勝利数及び勝ち点が同じ場合は、決定戦を行う。,○,両チームの勝ち数と勝ち点が同じなら決定戦等の規定がある（大会方式により判定ルール適用）。
15,監査は、安全域のすぐ外側に着席し、笛のみを装備する。,×,監査（マッチスーパーバイザー）の着席位置・携行物については詳しい規定があり「笛のみ」限定の表現は不正確。
16,棄権は、競技者がそのカテゴリーから違反となることを意味する。,×,「棄権はカテゴリーから違反になる」という表現は語義が不正確。棄権は試合放棄・不出場の扱いであり「違反」とは区別される。
17,4cm 以上のヒールは、ユニフォームと一緒に着用することはできない。,○,4cm以上のヒール等は競技用ユニフォームとしては許可されない（安全基準）。
18,シニア男子の試合時間は 3 分、女子、カデット及びジュニアの試合時間は 2 分である。,×,試合時間はカテゴリーごとに細かい定めがあるが、一般的にシニア男子は3分、女子や年齢別は規定で異なるケースがあるため単純化は危険（JKF規定で確認要）。
19,団体組手のメンバーは、空手着の種類を問わず着用することができる。,×,団体組手のメンバーは同一の空手着規定に従う必要がある（統一性が求められる）。
20,チームメンバーは、異なるタイプのストライプを使用することができる。,×,チーム内で異なるタイプのストライプ（袖のライン等）を使用することは通常認められない（統一が原則）。
21,試合中に紐が取れてしまった場合も、上着を替える必要はない。,×,試合中に紐が取れた場合は状況により着替えや一時停止措置が必要。単純に「上着を替える必要はない」とするのは不正確。
22,競技者は、如何なる白の空手着を着用することができる。,×,「如何なる白の空手着も着用できる」わけではない。JKFが認定した仕様（刺繍・ライン等不可）に準じる必要がある。
23,中段蹴りと突きの速いコンビネーションは、それぞれ得点となり１本が与えられる。,×,中段蹴りと突きの素早いコンビネーションが個別に点数化されるかは原則として同連続技の取り扱いで変わる。単純に「それぞれ1本が与えられるとは限らない」（採点基準あり）。
24,シニアの試合において、喉への軽い「グローブタッチ」は、負傷がない限り、ウォーニング又はペナルティは科せられない。,×,シニアで喉への接触は非常に危険視され、軽い接触でも扱いは厳格（ルール上の扱いは状況次第でウォーニングやペナルティがあり得る）。
25,股間への蹴りは、故意でなければペナルティは科せられない。,×,股間への蹴りは保護対象であり、故意・過失を問わずペナルティが科されるのが一般的。
26,2023 年より、14 歳以下の競技者は、WKF 公認の保護ヘルメットの着用が認められ、2024 年 1 月 1 日以降は義務付けられる。,○,2023年以降、低年齢選手へのヘルメット着用に関する改訂があり、14歳以下に保護ヘルメットの着用が認められ、一定時期以降義務化される旨の運用が発表されている（JKF/WKFの導入スケジュール参照）。
27,試合残り時間 15 秒を切った時点で先取が取り消された後、競技者双方に先取を与えることはできない。,○,残り15秒を切った時点で先取が取り消された場合、その後双方に新たに先取を与えることはできない、という扱いが規定にある。
28,先取を与えられた競技者が、残り時間 15 秒を切った時点で、戦いを回避したとしてカテゴリー2 のウォーニングを科せられた場合、その競技者は自動的に利点を失う。,○,先取（センシュ）を持つ競技者が残り15秒未満に「戦い回避」等のカテゴリー2ウォーニングを受けた場合、利点（先取）を失う規定がある。
29,任意の宗教的なヘッドウェアは、JKF の承認が必要である。,○,宗教的ヘッドウェアの着用はJKF承認が必要（任意着用とは別）。
30,大会実行委員長又は大会実行委員会は、コーチがトラックスーツの上着の代わりに、Tシャツの着用を許可することができる。,○,大会実行委員長または実行委員会は、ドレスコードの一部例外（Tシャツ等）を許可する裁量がある。大会要項に明示される。
31,反則注意は、相手の反則により、競技者の勝利の可能性が著しく低下した場合に与えられる。,○,「反則注意」は、相手反則により勝利の可能性が著しく低下した場合等、競技規定に沿って与えられる場合がある（状況次第）。
32,Exchange とは、試合中時計が動いている時間をいう。（Exchange とは試合が中断され、時計が止められるまでの時間をいう。）,×,Exchange（エクスチェンジ）の定義に関する設問は矛盾している。一般にExchangeは時計が動いている時間を指す訳ではなく、文脈により「競技再開までの区間」等の定義があるため設問文は誤り。
33,体重の許容範囲は、男女とも 0.5kg である。,○,体重許容範囲（ウェイトクラスの許容）は男女とも±0.5kgとされることが多い（JKF実務上の運用）。
34,反則は重大な規定違反に対し、科せられる。,○,反則は重大な規定違反に対して科される（軽微な違反は注意等）。
35,失格は、ウォーニングが科せられた後でなければ科せられない。,×,失格は必ずしもウォーニングの後でなければ科せられないわけではない（重大な反則では即失格がある）。
36,悪意がある行為に対する正しいペナルティは、反則ではなく失格である。,○,悪意ある行為（明白な故意の危険行為）に対する正しいペナルティとして失格が科され得る（重大なケース）。
37,悪意ある行為に対する正しいペナルティは、反則である。,×,（36と矛盾）悪意ある行為に対し常に反則のみ、というのは誤り。重大な場合は失格が相当。
38,コーチ又は競技者以外の者の行為が、空手道の威信と名誉を損なうと判断された場合、競技者に失格を科すことができる。,○,コーチや第三者の行為が大会の威信を損なうと判断されれば競技者に処分（失格等）を科すことができる旨の規定がある。
